age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
70-75,2015,man,Germany,0.281398656,0.718601344,0.229072485,0.333724827,0.666275173,0.770927515
75-80,2015,man,Germany,0.226627474,0.773372526,0.175840047,0.277414901,0.722585099,0.824159953
80+,2015,man,Germany,0.151507951,0.848492049,0.096386274,0.206629628,0.793370372,0.903613726
50-55,2015,man,Sweden,0.817416922,0.182583078,0.753259889,0.881573956,0.118426044,0.246740111
55-60,2015,man,Sweden,0.673948262,0.326051738,0.595019559,0.752876965,0.247123035,0.404980441
60-65,2015,man,Sweden,0.592771781,0.407228219,0.533158603,0.652384959,0.347615041,0.466841397
65-70,2015,man,Sweden,0.467370276,0.532629724,0.411502351,0.523238202,0.476761798,0.588497649
70-75,2015,man,Sweden,0.388349027,0.611650973,0.335390472,0.441307581,0.558692419,0.664609528
75-80,2015,man,Sweden,0.26829859,0.73170141,0.220803758,0.315793422,0.684206578,0.779196242
80+,2015,man,Sweden,0.248204974,0.751795026,0.191221876,0.305188072,0.694811928,0.808778124
50-55,2015,man,Spain,0.744587414,0.255412586,0.54863436,0.940540467,0.059459533,0.45136564
55-60,2015,man,Spain,0.560271062,0.439728938,0.452666511,0.667875613,0.332124387,0.547333489
60-65,2015,man,Spain,0.511028374,0.488971626,0.435114844,0.586941904,0.413058096,0.564885156
65-70,2015,man,Spain,0.326997547,0.673002453,0.263456107,0.390538986,0.609461014,0.736543893
70-75,2015,man,Spain,0.30188296,0.69811704,0.239242854,0.364523067,0.635476933,0.760757146
75-80,2015,man,Spain,0.180344242,0.819655758,0.123907203,0.236781281,0.763218719,0.876092797
80+,2015,man,Spain,0.123199292,0.876800708,0.080532011,0.165866574,0.834133426,0.919467989
50-55,2015,man,Italy,0.806948246,0.193051754,0.741386835,0.872509656,0.127490344,0.258613165
55-60,2015,man,Italy,0.696369497,0.303630503,0.637546873,0.755192122,0.244807878,0.362453127
60-65,2015,man,Italy,0.566788157,0.433211843,0.512875153,0.620701162,0.379298838,0.487124847
65-70,2015,man,Italy,0.484416498,0.515583502,0.434490881,0.534342116,0.465657884,0.565509119
70-75,2015,man,Italy,0.322962144,0.677037856,0.268264528,0.377659761,0.622340239,0.731735472
75-80,2015,man,Italy,0.285028488,0.714971512,0.230626023,0.339430952,0.660569048,0.769373977
80+,2015,man,Italy,0.206284154,0.793715846,0.153946036,0.258622273,0.741377727,0.846053964
50-55,2015,man,France,0.70109446,0.29890554,0.630879287,0.771309633,0.228690367,0.369120713
55-60,2015,man,France,0.580136378,0.419863622,0.509690175,0.650582582,0.349417418,0.490309825
60-65,2015,man,France,0.381315044,0.618684956,0.307575898,0.455054189,0.544945811,0.692424102
65-70,2015,man,France,0.324971328,0.675028672,0.275281175,0.374661481,0.625338519,0.724718825
70-75,2015,man,France,0.235959584,0.764040416,0.181694768,0.2902244,0.7097756,0.818305232
75-80,2015,man,France,0.216618715,0.783381285,0.161304815,0.271932614,0.728067386,0.838695185
80+,2015,man,France,0.108720083,0.891279917,0.066259272,0.151180894,0.848819106,0.933740728
50-55,2015,man,Denmark,0.687331647,0.312668353,0.617365219,0.757298076,0.242701924,0.382634781
55-60,2015,man,Denmark,0.543530497,0.456469503,0.456571842,0.630489152,0.369510848,0.543428158
60-65,2015,man,Denmark,0.449914582,0.550085418,0.410428304,0.489400861,0.510599139,0.589571696
65-70,2015,man,Denmark,0.370389545,0.629610455,0.356608769,0.38417032,0.61582968,0.643391231
70-75,2015,man,Denmark,0.291725687,0.708274313,0.173488149,0.409963226,0.590036774,0.826511851
75-80,2015,man,Denmark,0.266151501,0.733848499,0.237072913,0.29523009,0.70476991,0.762927087
80+,2015,man,Denmark,0.228910536,0.771089464,0.196036793,0.261784278,0.738215722,0.803963207
50-55,2015,man,Greece,0.849552207,0.150447793,0.803834358,0.895270056,0.104729944,0.196165642
55-60,2015,man,Greece,0.788473094,0.211526906,0.737087445,0.839858743,0.160141257,0.262912555
