age,year,gender,country,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
70-75,2015,woman,Slovenia,0.15139473,0.84860527,0.108589131,0.194200328,0.805799672,0.891410869
75-80,2015,woman,Slovenia,0.160279035,0.839720965,0.115396622,0.205161447,0.794838553,0.884603378
80+,2015,woman,Slovenia,0.32267693,0.67732307,0.26750866,0.3778452,0.6221548,0.73249134
50-55,2015,woman,Estonia,0.069232201,0.930767799,0.055925683,0.082538718,0.917461282,0.944074317
55-60,2015,woman,Estonia,0.093580671,0.906419329,0.082715075,0.104446268,0.895553732,0.917284925
60-65,2015,woman,Estonia,0.078194379,0.921805621,0.048303472,0.108085285,0.891914715,0.951696528
65-70,2015,woman,Estonia,0.123270798,0.876729202,0.109395935,0.137145661,0.862854339,0.890604065
70-75,2015,woman,Estonia,0.142059266,0.857940734,0.118905363,0.165213169,0.834786831,0.881094637
75-80,2015,woman,Estonia,0.236080819,0.763919181,0.211213319,0.26094832,0.73905168,0.788786681
80+,2015,woman,Estonia,0.36298571,0.63701429,0.31317721,0.412794209,0.587205791,0.68682279
50-55,2015,woman,Croatia,0.047729476,0.952270524,0.016486542,0.07897241,0.92102759,0.983513458
55-60,2015,woman,Croatia,0.063761927,0.936238073,0.02937217,0.098151684,0.901848316,0.97062783
60-65,2015,woman,Croatia,0.08304726,0.91695274,0.051217651,0.114876869,0.885123131,0.948782349
65-70,2015,woman,Croatia,0.08922057,0.91077943,0.044953645,0.133487494,0.866512506,0.955046355
70-75,2015,woman,Croatia,0.114590079,0.885409921,0.063667171,0.165512987,0.834487013,0.936332829
75-80,2015,woman,Croatia,0.231024279,0.768975721,0.158333889,0.303714669,0.696285331,0.841666111
80+,2015,woman,Croatia,0.404040336,0.595959664,0.288353967,0.519726704,0.480273296,0.711646033
50-55,2015,man,Austria,0,1,0,0,1,1
55-60,2015,man,Austria,0.059029082,0.940970918,0.01772278,0.100335385,0.899664615,0.98227722
60-65,2015,man,Austria,0.036368393,0.963631607,0.013264885,0.059471901,0.940528099,0.986735115
65-70,2015,man,Austria,0.071866265,0.928133735,0.037646072,0.106086458,0.893913542,0.962353928
