age,country,year,sex,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
85-90,Czechia,2014,man,0.3512,0.6488,0.1586,0.5438,0.4562,0.8414
90+,Czechia,2014,man,0.2320,0.7680,-0.0284,0.4923,0.5077,1.0284
50-55,Poland,2014,man,0.0754,0.9246,0.0139,0.1369,0.8631,0.9861
55-60,Poland,2014,man,0.0737,0.9263,0.0219,0.1256,0.8744,0.9781
60-65,Poland,2014,man,0.1507,0.8493,0.1178,0.1835,0.8165,0.8822
65-70,Poland,2014,man,0.1000,0.9000,0.0565,0.1435,0.8565,0.9435
70-75,Poland,2014,man,0.1920,0.8080,0.1361,0.2479,0.7521,0.8639
75-80,Poland,2014,man,0.2176,0.7824,0.1238,0.3115,0.6885,0.8762
80-85,Poland,2014,man,0.2947,0.7053,0.2356,0.3538,0.6462,0.7644
85-90,Poland,2014,man,0.4041,0.5959,0.1400,0.6681,0.3319,0.8600
90+,Poland,2014,man,0.3861,0.6139,0.2975,0.4746,0.5254,0.7025
50-55,Luxembourg,2014,man,0.0228,0.9772,-0.0145,0.0602,0.9398,1.0145
55-60,Luxembourg,2014,man,0.0433,0.9567,0.0078,0.0788,0.9212,0.9922
60-65,Luxembourg,2014,man,0.0524,0.9476,0.0104,0.0944,0.9056,0.9896
65-70,Luxembourg,2014,man,0.0497,0.9503,0.0206,0.0787,0.9213,0.9794
70-75,Luxembourg,2014,man,0.1083,0.8917,0.0543,0.1623,0.8377,0.9457
75-80,Luxembourg,2014,man,0.1297,0.8703,0.0711,0.1883,0.8117,0.9289
80-85,Luxembourg,2014,man,0.2917,0.7083,0.1827,0.4008,0.5992,0.8173
85-90,Luxembourg,2014,man,0.2685,0.7315,0.2084,0.3286,0.6714,0.7916
90+,Luxembourg,2014,man,0.2849,0.7151,0.1697,0.4001,0.5999,0.8303
50-55,Portugal,2014,man,0.0624,0.9376,-0.0686,0.1934,0.8066,1.0686
55-60,Portugal,2014,man,0.1535,0.8465,-0.0030,0.3101,0.6899,1.0030
60-65,Portugal,2014,man,0.0651,0.9349,0.0141,0.1161,0.8839,0.9859
65-70,Portugal,2014,man,0.0941,0.9059,0.0338,0.1543,0.8457,0.9662
70-75,Portugal,2014,man,0.2329,0.7671,0.0800,0.3857,0.6143,0.9200
75-80,Portugal,2014,man,0.1532,0.8468,0.0495,0.2569,0.7431,0.9505
80-85,Portugal,2014,man,0.4721,0.5279,0.2037,0.7405,0.2595,0.7963
85-90,Portugal,2014,man,0.5312,0.4688,0.2090,0.8533,0.1467,0.7910
90+,Portugal,2014,man,0.3630,0.6370,-0.0863,0.8124,0.1876,1.0863
50-55,Slovenia,2014,man,0.0749,0.9251,0.0213,0.1286,0.8714,0.9787
55-60,Slovenia,2014,man,0.0581,0.9419,0.0306,0.0855,0.9145,0.9694
60-65,Slovenia,2014,man,0.0714,0.9286,0.0458,0.0971,0.9029,0.9542
65-70,Slovenia,2014,man,0.0877,0.9123,0.0507,0.1248,0.8752,0.9493
70-75,Slovenia,2014,man,0.1464,0.8536,0.1025,0.1903,0.8097,0.8975
75-80,Slovenia,2014,man,0.2336,0.7664,0.1639,0.3032,0.6968,0.8361
80-85,Slovenia,2014,man,0.2582,0.7418,0.1846,0.3318,0.6682,0.8154
85-90,Slovenia,2014,man,0.1786,0.8214,0.0754,0.2818,0.7182,0.9246
90+,Slovenia,2014,man,0.2801,0.7199,0.0585,0.5017,0.4983,0.9415
50-55,Estonia,2014,man,0.0367,0.9633,0.0156,0.0577,0.9423,0.9844
55-60,Estonia,2014,man,0.0949,0.9051,0.0265,0.1634,0.8366,0.9735
60-65,Estonia,2014,man,0.0840,0.9160,0.0651,0.1030,0.8970,0.9349
65-70,Estonia,2014,man,0.1124,0.8876,0.0771,0.1477,0.8523,0.9229
70-75,Estonia,2014,man,0.1348,0.8652,0.1137,0.1559,0.8441,0.8863
75-80,Estonia,2014,man,0.1795,0.8205,0.1635,0.1956,0.8044,0.8365
80-85,Estonia,2014,man,0.2427,0.7573,0.1410,0.3445,0.6555,0.8590
85-90,Estonia,2014,man,0.2677,0.7323,0.1988,0.3366,0.6634,0.8012
90+,Estonia,2014,man,0.3727,0.6273,0.2210,0.5244,0.4756,0.7790
50-55,Croatia,2014,man,0.0495,0.9505,0.0175,0.0815,0.9185,0.9825
55-60,Croatia,2014,man,0.0517,0.9483,0.0135,0.0899,0.9101,0.9865
