"Age","Country","Mortality","Chronic","Mortality.l","Mortality.u","Chronic.l","Chronic.u"
70,"Italy",0.134415047744845,-0.200462582930152,0.165964665669716,0.102865429599847,-0.22399535257979,-0.176929822082595
75,"Italy",0.119208298317988,-0.29916213131961,0.151283202879702,0.0871333935818104,-0.320803671018075,-0.277520591621146
80,"Italy",0.198101640100671,-0.5391738575194,0.256630759884198,0.139572520203952,-0.595518501944449,-0.482829226155387
60,"France",0.144295885161496,-0.359934060701412,0.179291484625627,0.109300285508673,-0.455975351524558,-0.263892764978639
65,"France",0.125038729689423,-0.460423606042259,0.158836253680404,0.0912412055540335,-0.439039812404065,-0.481807404349811
70,"France",0.105041971060631,-0.102829483238279,0.137396270939015,0.0726876711172584,-0.120035572403719,-0.085623398432483
75,"France",0.0817959982049228,-0.272773128615164,0.11001387262969,0.0535781239455235,-0.276256708256247,-0.269289548974071
80,"France",0.144761089481372,-0.21341086450665,0.197513277120868,0.0920089027102513,-0.328058505640689,-0.0987632161907301
60,"Denmark",0.12296468261203,-0.170239015500321,0.140017974232903,0.105911390927691,-0.0961342704247992,-0.244343770348184
65,"Denmark",0.116145002160242,-0.340313182767493,0.132938588308794,0.0993514159590898,-0.014584202998126,-0.666042157918973
70,"Denmark",0.123650277793384,-0.0688337713551768,0.138164970735825,0.109135584765817,-0.45611454573021,0.318446998788295
75,"Denmark",0.113168761555571,-0.211314318429946,0.122547638818586,0.103789884096805,-0.298420818684832,-0.124207825515568
80,"Denmark",0.216249805544747,-0.218845002576799,0.234591144428745,0.19790846618687,-0.380681018044243,-0.0570089813241372
60,"Greece",0.34062269811419,-0.516281393484602,0.380882062186021,0.300363334065439,-0.523103835074357,-0.509458942112134
65,"Greece",0.311198958468287,-0.602255442213968,0.353904370409275,0.268493546557655,-0.618347329645616,-0.586163554782315
70,"Greece",0.199863011183346,-0.701005426368452,0.231478996552191,0.168247025901845,-0.693219240841415,-0.708791607660345
75,"Greece",0.187889854760048,-0.432994347098465,0.220321169835458,0.155458539905696,-0.46165538171314,-0.40433331248377
80,"Greece",0.359265580128978,-0.540925995185468,0.422285554690598,0.296245606113022,-0.575941419463579,-0.505910576671321
60,"Switzerland",0.157238964917513,-0.239184067662466,0.184990193300587,0.129487736589328,-0.252139767712347,-0.226228362691204
65,"Switzerland",0.150661740574881,-0.454768930102299,0.179995249653556,0.12132823160345,-0.501585623691311,-0.407952236513272
70,"Switzerland",0.170096649083066,-0.0227506614991899,0.207488533989984,0.132704764356881,0.0553181105603588,-0.100819433558732
75,"Switzerland",0.157033398561163,-0.128720479112777,0.194325311646775,0.119741485605678,-0.102084572847765,-0.155356385377801
80,"Switzerland",0.276864248188215,-0.229299564099763,0.3433129162583,0.210415580118147,-0.209622163812536,-0.248976964386988
60,"Belgium",0.124561570057545,-0.164266974254589,0.146717231778914,0.102405908424151,-0.164717205129381,-0.163816743379805
65,"Belgium",0.145382573444709,-0.224410038696166,0.174661574049987,0.116103572848155,-0.254902471426858,-0.19391760133718
70,"Belgium",0.133455841527221,-0.128411969195738,0.16323593922167,0.103675743781579,-0.137233303161215,-0.119590635230231
75,"Belgium",0.122491274813269,-0.399320728619349,0.150699540958418,0.0942830084973183,-0.450169847185468,-0.348471606321505
80,"Belgium",0.184318375864046,-0.34498516837396,0.225669065888184,0.142967685355668,-0.399797470394454,-0.290172860325631
60,"Israel",0.134779671047676,0.443686458428367,0.173325473912945,0.0962338682834307,0.411230388181549,0.476142528675179
65,"Israel",0.12913530934866,0.267259822205857,0.170437016775191,0.0878336020301713,0.245131964734831,0.289387684363848
70,"Israel",0.12572700236727,0.155598162592018,0.169400527021452,0.0820534778763458,0.0949651638857159,0.216231165641441
75,"Israel",0.109476628876299,-0.25552504811005,0.14826369805354,0.0706895600731849,-0.337232918628878,-0.173817181396198
80,"Israel",0.13368060242678,0.450159324338187,0.181151139122894,0.0862100664440861,0.550502817784727,0.349815830891667
60,"Czech Republic",0.200276944166931,-0.0965437980772554,0.244067190537237,0.156486697702786,-0.156639281415874,-0.0364483244557698
65,"Czech Republic",0.172927038207691,-0.126217969519216,0.219282271485682,0.126571804875271,-0.15491438364632,-0.0975215508798328
